"Ключевое слово","Показов в месяц",Тренды,CPC,Конкуренция
"полировочная машинка",6600,"2024-12: 5400, 2025-01: 6600, 2025-02: 6600, 2025-03: 8100, 2025-04: 6600, 2025-05: 8100, 2025-06: 6600, 2025-07: 6600, 2025-08: 8100, 2025-09: 8100, 2025-10: 5400, 2025-11: 4400, 2025-12: 6600",0.01,1.00
"малярные скотчи",4400,"2024-12: 4400, 2025-01: 4400, 2025-02: 4400, 2025-03: 4400, 2025-04: 4400, 2025-05: 4400, 2025-06: 4400, 2025-07: 4400, 2025-08: 4400, 2025-09: 4400, 2025-10: 5400, 2025-11: 4400, 2025-12: 4400",0.03,1.00
"малярный скотч",4400,"2024-12: 4400, 2025-01: 4400, 2025-02: 4400, 2025-03: 4400, 2025-04: 4400, 2025-05: 4400, 2025-06: 4400, 2025-07: 4400, 2025-08: 4400, 2025-09: 4400, 2025-10: 5400, 2025-11: 4400, 2025-12: 4400",0.03,1.00
торнадор,3600,"2024-12: 2400, 2025-01: 3600, 2025-02: 2900, 2025-03: 4400, 2025-04: 3600, 2025-05: 3600, 2025-06: 3600, 2025-07: 3600, 2025-08: 2900, 2025-09: 2900, 2025-10: 2900, 2025-11: 2900, 2025-12: 3600",0.07,1.00
"нейтрализаторы запаха",2400,"2024-12: 2400, 2025-01: 2900, 2025-02: 1900, 2025-03: 1900, 2025-04: 1900, 2025-05: 2400, 2025-06: 1900, 2025-07: 2400, 2025-08: 1900, 2025-09: 2400, 2025-10: 2400, 2025-11: 2400, 2025-12: 2400",0.06,1.00
"полировка авто",2400,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 2900, 2025-04: 2900, 2025-05: 2900, 2025-06: 2900, 2025-07: 2900, 2025-08: 2900, 2025-09: 2900, 2025-10: 1900, 2025-11: 1300, 2025-12: 2400",0.14,0.95
пятновыводитель,1900,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 1900, 2025-04: 1900, 2025-05: 2400, 2025-06: 2400, 2025-07: 2400, 2025-08: 2400, 2025-09: 2400, 2025-10: 1600, 2025-11: 1600, 2025-12: 1900",0.08,0.99
"полировочная паста",1300,"2024-12: 880, 2025-01: 1300, 2025-02: 1000, 2025-03: 1600, 2025-04: 1300, 2025-05: 1600, 2025-06: 1300, 2025-07: 1300, 2025-08: 1300, 2025-09: 1300, 2025-10: 880, 2025-11: 590, 2025-12: 1300",0.04,1.00
"воск для авто",1300,"2024-12: 720, 2025-01: 1300, 2025-02: 880, 2025-03: 1600, 2025-04: 1600, 2025-05: 1600, 2025-06: 1600, 2025-07: 1300, 2025-08: 1300, 2025-09: 1300, 2025-10: 880, 2025-11: 720, 2025-12: 1300",0.03,1.00
"пена для мойки авто",1000,"2024-12: 720, 2025-01: 1600, 2025-02: 1000, 2025-03: 2400, 2025-04: 1600, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 390, 2025-11: 480, 2025-12: 1000",0.04,1.00
"пена для мойки автомобиля",1000,"2024-12: 720, 2025-01: 1600, 2025-02: 1000, 2025-03: 2400, 2025-04: 1600, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 390, 2025-11: 480, 2025-12: 1000",0.04,1.00
"микрофибра для авто",1000,"2024-12: 880, 2025-01: 1300, 2025-02: 1300, 2025-03: 1300, 2025-04: 1000, 2025-05: 1000, 2025-06: 880, 2025-07: 1000, 2025-08: 1300, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.07,1.00
"тряпка для авто",1000,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1600, 2025-04: 1300, 2025-05: 1000, 2025-06: 1000, 2025-07: 1000, 2025-08: 1000, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.04,1.00
"тряпки для автомобиля",1000,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1600, 2025-04: 1300, 2025-05: 1000, 2025-06: 1000, 2025-07: 1000, 2025-08: 1000, 2025-09: 1000, 2025-10: 880, 2025-11: 880, 2025-12: 1000",0.04,1.00
антидождь,1600,"2024-12: 2900, 2025-01: 1900, 2025-02: 1000, 2025-03: 1600, 2025-04: 1600, 2025-05: 1600, 2025-06: 880, 2025-07: 880, 2025-08: 880, 2025-09: 1600, 2025-10: 3600, 2025-11: 2900, 2025-12: 1600",0.02,1.00
"активная пена для мойки авто",880,"2024-12: 590, 2025-01: 1600, 2025-02: 1000, 2025-03: 1900, 2025-04: 1300, 2025-05: 1000, 2025-06: 880, 2025-07: 720, 2025-08: 590, 2025-09: 480, 2025-10: 260, 2025-11: 320, 2025-12: 880",0.04,1.00
автошампунь,720,"2024-12: 480, 2025-01: 880, 2025-02: 720, 2025-03: 1300, 2025-04: 1000, 2025-05: 1000, 2025-06: 1000, 2025-07: 880, 2025-08: 720, 2025-09: 590, 2025-10: 480, 2025-11: 390, 2025-12: 720",0.03,1.00
"чернитель резины",720,"2024-12: 480, 2025-01: 480, 2025-02: 590, 2025-03: 1300, 2025-04: 1300, 2025-05: 880, 2025-06: 880, 2025-07: 880, 2025-08: 880, 2025-09: 720, 2025-10: 480, 2025-11: 590, 2025-12: 720",0.04,1.00
"скотч малярний",1300,"2024-12: 1000, 2025-01: 1300, 2025-02: 1300, 2025-03: 1300, 2025-04: 1300, 2025-05: 1300, 2025-06: 1300, 2025-07: 1600, 2025-08: 1300, 2025-09: 1600, 2025-10: 1300, 2025-11: 1300, 2025-12: 1300",0.03,1.00
"омыватель стекла зимний",720,"2024-12: 2900, 2025-01: 1300, 2025-02: 1300, 2025-03: 260, 2025-04: 110, 2025-05: 70, 2025-06: 40, 2025-07: 40, 2025-08: 90, 2025-09: 390, 2025-10: 1000, 2025-11: 1600, 2025-12: 720",0.03,1.00
"полировка автомобиля",2400,"2024-12: 1600, 2025-01: 1900, 2025-02: 1900, 2025-03: 2900, 2025-04: 2900, 2025-05: 2900, 2025-06: 2900, 2025-07: 2900, 2025-08: 2900, 2025-09: 2900, 2025-10: 1900, 2025-11: 1300, 2025-12: 2400",0.14,0.95
"твёрдый воск для авто",880,"2024-12: 590, 2025-01: 720, 2025-02: 720, 2025-03: 1300, 2025-04: 1300, 2025-05: 1300, 2025-06: 1000, 2025-07: 880, 2025-08: 1000, 2025-09: 880, 2025-10: 590, 2025-11: 480, 2025-12: 880",0.10,1.00
"активная пена для мойки автомобиля",880,"2024-12: 590, 2025-01: 1600, 2025-02: 1000, 2025-03: 1900, 2025-04: 1300, 2025-05: 1000, 2025-06: 880, 2025-07: 720, 2025-08: 590, 2025-09: 480, 2025-10: 260, 2025-11: 320, 2025-12: 880",0.04,1.00
"активная пена",480,"2024-12: 260, 2025-01: 480, 2025-02: 390, 2025-03: 720, 2025-04: 590, 2025-05: 1000, 2025-06: 880, 2025-07: 390, 2025-08: 260, 2025-09: 210, 2025-10: 140, 2025-11: 170, 2025-12: 480",0.02,1.00
"омыватель стекла",590,"2024-12: 720, 2025-01: 480, 2025-02: 480, 2025-03: 590, 2025-04: 590, 2025-05: 590, 2025-06: 480, 2025-07: 480, 2025-08: 480, 2025-09: 720, 2025-10: 880, 2025-11: 720, 2025-12: 590",0.03,1.00
"круг для полировки авто",480,"2024-12: 390, 2025-01: 590, 2025-02: 320, 2025-03: 720, 2025-04: 590, 2025-05: 590, 2025-06: 590, 2025-07: 590, 2025-08: 590, 2025-09: 590, 2025-10: 320, 2025-11: 210, 2025-12: 480",0.05,1.00
"обезжириватель для авто",480,"2024-12: 320, 2025-01: 480, 2025-02: 320, 2025-03: 720, 2025-04: 590, 2025-05: 590, 2025-06: 590, 2025-07: 720, 2025-08: 590, 2025-09: 590, 2025-10: 320, 2025-11: 320, 2025-12: 480",0.08,1.00
"полироль для стекла",590,"2024-12: 480, 2025-01: 720, 2025-02: 480, 2025-03: 720, 2025-04: 590, 2025-05: 590, 2025-06: 480, 2025-07: 480, 2025-08: 480, 2025-09: 590, 2025-10: 480, 2025-11: 480, 2025-12: 590",0.02,1.00
"круги для полировки автомобиля",480,"2024-12: 390, 2025-01: 590, 2025-02: 320, 2025-03: 720, 2025-04: 590, 2025-05: 590, 2025-06: 590, 2025-07: 590, 2025-08: 590, 2025-09: 590, 2025-10: 320, 2025-11: 210, 2025-12: 480",0.05,1.00
"полировочная паста для авто",480,"2024-12: 320, 2025-01: 480, 2025-02: 320, 2025-03: 480, 2025-04: 480, 2025-05: 480, 2025-06: 590, 2025-07: 590, 2025-08: 590, 2025-09: 720, 2025-10: 390, 2025-11: 260, 2025-12: 480",0.02,1.00
"химия для чистки салона",480,"2024-12: 390, 2025-01: 590, 2025-02: 480, 2025-03: 720, 2025-04: 590, 2025-05: 480, 2025-06: 480, 2025-07: 480, 2025-08: 480, 2025-09: 390, 2025-10: 320, 2025-11: 260, 2025-12: 480",0.08,1.00
"шампунь для авто",480,"2024-12: 320, 2025-01: 480, 2025-02: 390, 2025-03: 720, 2025-04: 590, 2025-05: 480, 2025-06: 480, 2025-07: 480, 2025-08: 390, 2025-09: 480, 2025-10: 210, 2025-11: 210, 2025-12: 480",0.05,1.00
"жидкое стекло для автомобилей",480,"2024-12: 210, 2025-01: 390, 2025-02: 320, 2025-03: 480, 2025-04: 390, 2025-05: 390, 2025-06: 480, 2025-07: 1000, 2025-08: 880, 2025-09: 880, 2025-10: 390, 2025-11: 260, 2025-12: 480",0.04,1.00
нанокерамика,260,"2024-12: 480, 2025-01: 320, 2025-02: 320, 2025-03: 390, 2025-04: 320, 2025-05: 320, 2025-06: 260, 2025-07: 260, 2025-08: 170, 2025-09: 210, 2025-10: 170, 2025-11: 170, 2025-12: 260",0.06,1.00
"очиститель двигателя",390,"2024-12: 480, 2025-01: 590, 2025-02: 390, 2025-03: 480, 2025-04: 480, 2025-05: 480, 2025-06: 390, 2025-07: 320, 2025-08: 320, 2025-09: 260, 2025-10: 320, 2025-11: 210, 2025-12: 390",0.02,1.00
"набор для полировки авто",390,"2024-12: 320, 2025-01: 320, 2025-02: 320, 2025-03: 480, 2025-04: 390, 2025-05: 480, 2025-06: 320, 2025-07: 480, 2025-08: 390, 2025-09: 390, 2025-10: 210, 2025-11: 170, 2025-12: 390",0.03,1.00
"круги для полировки",390,"2024-12: 320, 2025-01: 480, 2025-02: 390, 2025-03: 590, 2025-04: 480, 2025-05: 480, 2025-06: 390, 2025-07: 390, 2025-08: 390, 2025-09: 390, 2025-10: 260, 2025-11: 210, 2025-12: 390",0.04,1.00
"полировка кузова",260,"2024-12: 260, 2025-01: 210, 2025-02: 170, 2025-03: 320, 2025-04: 320, 2025-05: 260, 2025-06: 260, 2025-07: 260, 2025-08: 320, 2025-09: 320, 2025-10: 170, 2025-11: 140, 2025-12: 260",0.15,1.00
"щетка для мойки авто",390,"2024-12: 480, 2025-01: 720, 2025-02: 720, 2025-03: 720, 2025-04: 480, 2025-05: 320, 2025-06: 320, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 260, 2025-11: 390, 2025-12: 390",0.06,1.00
"жидкий воск для авто",390,"2024-12: 210, 2025-01: 480, 2025-02: 390, 2025-03: 720, 2025-04: 590, 2025-05: 480, 2025-06: 480, 2025-07: 390, 2025-08: 390, 2025-09: 320, 2025-10: 260, 2025-11: 210, 2025-12: 390",0.06,1.00
"чернение резины",260,"2024-12: 140, 2025-01: 170, 2025-02: 140, 2025-03: 480, 2025-04: 390, 2025-05: 320, 2025-06: 260, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 140, 2025-11: 110, 2025-12: 260",0.02,1.00
"глина для авто",260,"2024-12: 140, 2025-01: 170, 2025-02: 170, 2025-03: 210, 2025-04: 320, 2025-05: 390, 2025-06: 320, 2025-07: 320, 2025-08: 390, 2025-09: 320, 2025-10: 170, 2025-11: 210, 2025-12: 260",0.02,1.00
"нанокерамика для авто",260,"2024-12: 390, 2025-01: 320, 2025-02: 260, 2025-03: 260, 2025-04: 320, 2025-05: 260, 2025-06: 260, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 210, 2025-12: 260",0.05,1.00
"нанокерамика для автомобиля",260,"2024-12: 390, 2025-01: 320, 2025-02: 260, 2025-03: 260, 2025-04: 320, 2025-05: 260, 2025-06: 260, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 210, 2025-12: 260",0.05,1.00
"наборы для авто",320,"2024-12: 720, 2025-01: 390, 2025-02: 390, 2025-03: 320, 2025-04: 260, 2025-05: 590, 2025-06: 320, 2025-07: 260, 2025-08: 210, 2025-09: 260, 2025-10: 210, 2025-11: 260, 2025-12: 320",0.07,1.00
"полироль для салона автомобиля",320,"2024-12: 390, 2025-01: 260, 2025-02: 260, 2025-03: 390, 2025-04: 320, 2025-05: 390, 2025-06: 390, 2025-07: 320, 2025-08: 320, 2025-09: 320, 2025-10: 210, 2025-11: 170, 2025-12: 320",0.02,1.00
"полировальные круги",260,"2024-12: 210, 2025-01: 260, 2025-02: 260, 2025-03: 320, 2025-04: 320, 2025-05: 260, 2025-06: 260, 2025-07: 260, 2025-08: 260, 2025-09: 260, 2025-10: 260, 2025-11: 140, 2025-12: 260",0.04,1.00
"автошампунь для ручной мойки",260,"2024-12: 170, 2025-01: 260, 2025-02: 320, 2025-03: 390, 2025-04: 320, 2025-05: 260, 2025-06: 320, 2025-07: 260, 2025-08: 260, 2025-09: 170, 2025-10: 140, 2025-11: 110, 2025-12: 260",0.02,1.00
"щетка для мытья машины",260,"2024-12: 480, 2025-01: 720, 2025-02: 480, 2025-03: 480, 2025-04: 210, 2025-05: 260, 2025-06: 210, 2025-07: 140, 2025-08: 110, 2025-09: 90, 2025-10: 90, 2025-11: 170, 2025-12: 260",0.04,1.00
"средство для чистки салона авто",260,"2024-12: 260, 2025-01: 260, 2025-02: 260, 2025-03: 320, 2025-04: 320, 2025-05: 320, 2025-06: 320, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 110, 2025-12: 260",0.05,1.00
"средство для чистки салона автомобиля",260,"2024-12: 260, 2025-01: 260, 2025-02: 260, 2025-03: 320, 2025-04: 320, 2025-05: 320, 2025-06: 320, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 110, 2025-12: 260",0.05,1.00
"твёрдый воск",320,"2024-12: 210, 2025-01: 320, 2025-02: 320, 2025-03: 480, 2025-04: 480, 2025-05: 480, 2025-06: 390, 2025-07: 320, 2025-08: 390, 2025-09: 320, 2025-10: 210, 2025-11: 210, 2025-12: 320",0.12,1.00
"активная пена для бесконтактной мойки",210,"2024-12: 170, 2025-01: 390, 2025-02: 320, 2025-03: 590, 2025-04: 260, 2025-05: 210, 2025-06: 170, 2025-07: 140, 2025-08: 140, 2025-09: 90, 2025-10: 70, 2025-11: 90, 2025-12: 210",0.06,0.92
"антидождь для автомобиля",260,"2024-12: 480, 2025-01: 170, 2025-02: 140, 2025-03: 170, 2025-04: 210, 2025-05: 210, 2025-06: 110, 2025-07: 90, 2025-08: 140, 2025-09: 260, 2025-10: 720, 2025-11: 720, 2025-12: 260",0.02,1.00
антимошка,260,"2024-12: 40, 2025-01: 50, 2025-02: 40, 2025-03: 170, 2025-04: 390, 2025-05: 590, 2025-06: 720, 2025-07: 590, 2025-08: 320, 2025-09: 320, 2025-10: 140, 2025-11: 70, 2025-12: 260",0.00,1.00
"антимошка для авто",210,"2024-12: 10, 2025-01: 20, 2025-02: 20, 2025-03: 90, 2025-04: 390, 2025-05: 480, 2025-06: 390, 2025-07: 390, 2025-08: 320, 2025-09: 390, 2025-10: 70, 2025-11: 20, 2025-12: 210",0.05,1.00
"мочалка для автомобиля",260,"2024-12: 210, 2025-01: 260, 2025-02: 260, 2025-03: 320, 2025-04: 260, 2025-05: 260, 2025-06: 320, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 170, 2025-11: 170, 2025-12: 260",0.02,1.00
"мочалка для авто",260,"2024-12: 210, 2025-01: 260, 2025-02: 260, 2025-03: 320, 2025-04: 260, 2025-05: 260, 2025-06: 320, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 170, 2025-11: 170, 2025-12: 260",0.02,1.00
"химия для мойки двигателя",260,"2024-12: 210, 2025-01: 390, 2025-02: 320, 2025-03: 480, 2025-04: 390, 2025-05: 390, 2025-06: 260, 2025-07: 260, 2025-08: 210, 2025-09: 170, 2025-10: 170, 2025-11: 170, 2025-12: 260",0.06,1.00
"зимний омыватель",170,"2024-12: 590, 2025-01: 170, 2025-02: 260, 2025-03: 20, 2025-04: 20, 2025-05: 20, 2025-06: 10, 2025-07: 10, 2025-08: 20, 2025-09: 110, 2025-10: 390, 2025-11: 480, 2025-12: 170",0.03,1.00
"полироль для пластика автомобиля",170,"2024-12: 170, 2025-01: 140, 2025-02: 170, 2025-03: 260, 2025-04: 210, 2025-05: 210, 2025-06: 170, 2025-07: 140, 2025-08: 170, 2025-09: 210, 2025-10: 90, 2025-11: 110, 2025-12: 170",0.02,0.97
"полироль для пластику авто",170,"2024-12: 170, 2025-01: 140, 2025-02: 170, 2025-03: 260, 2025-04: 210, 2025-05: 210, 2025-06: 170, 2025-07: 140, 2025-08: 170, 2025-09: 210, 2025-10: 90, 2025-11: 110, 2025-12: 170",0.02,0.97
"паста для полировки",260,"2024-12: 210, 2025-01: 320, 2025-02: 320, 2025-03: 320, 2025-04: 260, 2025-05: 320, 2025-06: 260, 2025-07: 260, 2025-08: 320, 2025-09: 260, 2025-10: 260, 2025-11: 210, 2025-12: 260",0.05,1.00
"химия для салона авто",210,"2024-12: 170, 2025-01: 260, 2025-02: 140, 2025-03: 320, 2025-04: 210, 2025-05: 260, 2025-06: 260, 2025-07: 260, 2025-08: 260, 2025-09: 210, 2025-10: 210, 2025-11: 170, 2025-12: 210",0.10,0.99
"химчистка салона авто",1000,"2024-12: 880, 2025-01: 880, 2025-02: 880, 2025-03: 1300, 2025-04: 1300, 2025-05: 1300, 2025-06: 1300, 2025-07: 1300, 2025-08: 1600, 2025-09: 1000, 2025-10: 1000, 2025-11: 720, 2025-12: 1000",0.12,0.98
"жидкий воск",210,"2024-12: 210, 2025-01: 260, 2025-02: 210, 2025-03: 320, 2025-04: 320, 2025-05: 260, 2025-06: 210, 2025-07: 260, 2025-08: 210, 2025-09: 210, 2025-10: 170, 2025-11: 140, 2025-12: 210",0.04,1.00
"аккумуляторная полировальная машина",320,"2024-12: 260, 2025-01: 260, 2025-02: 320, 2025-03: 480, 2025-04: 320, 2025-05: 320, 2025-06: 260, 2025-07: 320, 2025-08: 320, 2025-09: 260, 2025-10: 320, 2025-11: 260, 2025-12: 320",0.02,1.00
"полировальная машина на аккумуляторе",170,"2024-12: 140, 2025-01: 170, 2025-02: 210, 2025-03: 260, 2025-04: 260, 2025-05: 170, 2025-06: 170, 2025-07: 170, 2025-08: 210, 2025-09: 210, 2025-10: 140, 2025-11: 140, 2025-12: 170",0.02,1.00
"полировальная машинка на аккумуляторе",170,"2024-12: 140, 2025-01: 170, 2025-02: 210, 2025-03: 260, 2025-04: 260, 2025-05: 170, 2025-06: 170, 2025-07: 170, 2025-08: 210, 2025-09: 210, 2025-10: 140, 2025-11: 140, 2025-12: 170",0.02,1.00
"торнадор для химчистки авто",110,"2024-12: 140, 2025-01: 90, 2025-02: 70, 2025-03: 210, 2025-04: 170, 2025-05: 90, 2025-06: 90, 2025-07: 140, 2025-08: 110, 2025-09: 140, 2025-10: 90, 2025-11: 50, 2025-12: 110",0.13,0.98
"тряпка для авто без разводов",170,"2024-12: 210, 2025-01: 260, 2025-02: 320, 2025-03: 260, 2025-04: 170, 2025-05: 140, 2025-06: 170, 2025-07: 210, 2025-08: 210, 2025-09: 140, 2025-10: 140, 2025-11: 90, 2025-12: 170",0.02,0.89
"химия для мойки авто",390,"2024-12: 260, 2025-01: 720, 2025-02: 480, 2025-03: 880, 2025-04: 720, 2025-05: 480, 2025-06: 480, 2025-07: 320, 2025-08: 260, 2025-09: 260, 2025-10: 170, 2025-11: 170, 2025-12: 390",0.10,1.00
"наборы для детейлинга",140,"2024-12: 210, 2025-01: 170, 2025-02: 210, 2025-03: 210, 2025-04: 170, 2025-05: 170, 2025-06: 140, 2025-07: 110, 2025-08: 140, 2025-09: 110, 2025-10: 70, 2025-11: 90, 2025-12: 140",0.09,1.00
"поглотитель запаха",210,"2024-12: 260, 2025-01: 320, 2025-02: 210, 2025-03: 210, 2025-04: 170, 2025-05: 170, 2025-06: 170, 2025-07: 210, 2025-08: 210, 2025-09: 210, 2025-10: 210, 2025-11: 210, 2025-12: 210",0.07,1.00
"средства для мойки двигателя",210,"2024-12: 170, 2025-01: 170, 2025-02: 210, 2025-03: 260, 2025-04: 320, 2025-05: 260, 2025-06: 170, 2025-07: 210, 2025-08: 170, 2025-09: 110, 2025-10: 140, 2025-11: 110, 2025-12: 210",0.03,1.00
омыватель,210,"2024-12: 480, 2025-01: 210, 2025-02: 320, 2025-03: 210, 2025-04: 140, 2025-05: 140, 2025-06: 110, 2025-07: 110, 2025-08: 140, 2025-09: 170, 2025-10: 260, 2025-11: 320, 2025-12: 210",0.03,1.00
